Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
A634,+N,19.9,7.02,8.14,5.8
A634,+N,19.9,7.02,8.14,6.5
A634,+N,19.9,7.02,9.5,5.8
A634,+N,19.9,7.02,9.5,6.5
A634,+N,19.9,7.333333333,8.14,5.8
A634,+N,19.9,7.333333333,8.14,6.5
A634,+N,19.9,7.333333333,9.5,5.8
A634,+N,19.9,7.333333333,9.5,6.5
A634,+N,20.33333333,7.333333333,8.14,5.8
A634,+N,20.33333333,7.333333333,8.14,6.5
A634,+N,20.33333333,7.333333333,9.5,5.8
A634,+N,20.33333333,7.333333333,9.5,6.5
A635,+N,20.2,7.6,12.66,3.2
A635,+N,20.2,7.6,12.66,3.8
A635,+N,20.2,7.6,12.52,3.2
A635,+N,20.2,7.6,12.52,3.8
A635,+N,19.28,7.08,12.66,3.2
A635,+N,19.28,7.08,12.66,3.8
A635,+N,19.28,7.08,12.52,3.2
A635,+N,19.28,7.08,12.52,3.8
A635,+N,19.28,7.6,12.66,3.2
A635,+N,19.28,7.6,12.66,3.8
A635,+N,19.28,7.6,12.52,3.2
A635,+N,19.28,7.6,12.52,3.8
A635,+N,20.2,7.08,12.52,3.2
A635,+N,20.2,7.08,12.52,3.8
A635,+N,20.2,7.08,12.66,3.2
A635,+N,20.2,7.08,12.66,3.8
A654,+N,,6.86,9.44,3.2
A654,+N,20.32,6.86,9.44,3.2
A659,+N,28.425,17.025,9.56,3.9
A659,+N,28.425,17.025,9.56,6.4
A659,+N,28.425,17.025,12.1,3.9
A659,+N,28.425,17.025,12.1,6.4
A659,+N,22.24,8.58,9.56,3.9
A659,+N,22.24,8.58,9.56,6.4
A659,+N,22.24,8.58,12.1,3.9
A659,+N,22.24,8.58,12.1,6.4
A659,+N,22.24,17.025,9.56,3.9
A659,+N,22.24,17.025,9.56,6.4
A659,+N,22.24,17.025,12.1,3.9
A659,+N,22.24,17.025,12.1,6.4
A659,+N,28.425,8.58,9.56,3.9
A659,+N,28.425,8.58,9.56,6.4
A659,+N,28.425,8.58,12.1,3.9
A659,+N,28.425,8.58,12.1,6.4
A661,+N,20.6,14.02,10.34,4.6
A661,+N,20.6,14.02,10.34,4.4
A661,+N,20.6,14.02,12.25,4.6
A661,+N,20.6,14.02,12.25,4.4
A661,+N,20.6,20.825,10.34,4.6
A661,+N,20.6,20.825,10.34,4.4
A661,+N,20.6,20.825,12.25,4.6
A661,+N,20.6,20.825,12.25,4.4
A661,+N,23.975,20.825,10.34,4.6
A661,+N,23.975,20.825,10.34,4.4
A661,+N,23.975,20.825,12.25,4.6
A661,+N,23.975,20.825,12.25,4.4
A661,+N,23.975,14.02,10.34,4.6
A661,+N,23.975,14.02,10.34,4.4
A661,+N,23.975,14.02,12.25,4.6
A661,+N,23.975,14.02,12.25,4.4
A679,+N,25.35,11.625,12.075,3.9
A679,+N,,11.625,12.075,3.9
A680,+N,24,15.75,13.225,3.7
A680,+N,,15.75,13.225,3.7
A682,+N,20.73333333,16,12.5,4.8
A682,+N,20.73333333,16,12.5,5
A682,+N,20.73333333,16,15.76666667,4.8
A682,+N,20.73333333,16,15.76666667,5
