Genotype	HN Cob Width	HN Cob Weight	HN Cob Length	HN 20 Kernel Weight	LN Cob Width 2019	LN Cob Weight	LN Cob Length	LN 20 Kernel Weight
4226	23.63333333	13.76666667	13.98333333	3.9	21.3	11.4	12.75	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	19	15.175	14.8	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	19	11.4	14.8	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	21.3	15.175	14.8	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	21.3	15.175	12.75	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	19	15.175	12.75	4.9
4226	23.63333333	13.76666667	13.98333333	3.9	21.3	11.4	14.8	4.9
4226	22.5	13.3	13.98333333	4.4	19	11.4	12.75	4.9
4226	22.5	13.3	13.98333333	4.4	21.3	11.4	12.75	4.9
4226	22.5	13.3	13.98333333	4.4	19	15.175	14.8	4.9
4226	22.5	13.3	13.98333333	4.4	19	11.4	14.8	4.9
4226	22.5	13.3	13.98333333	4.4	21.3	15.175	14.8	4.9
4226	22.5	13.3	13.98333333	4.4	21.3	15.175	12.75	4.9
4226	22.5	13.3	13.98333333	4.4	19	15.175	12.75	4.9
4226	22.5	13.3	13.98333333	4.4	21.3	11.4	14.8	4.9
4226	22.5	13.3	13.98333333	3.9	19	11.4	12.75	4.9
4226	22.5	13.3	13.98333333	3.9	21.3	11.4	12.75	4.9
4226	22.5	13.3	13.98333333	3.9	19	15.175	14.8	4.9
4226	22.5	13.3	13.98333333	3.9	19	11.4	14.8	4.9
4226	22.5	13.3	13.98333333	3.9	21.3	15.175	14.8	4.9
4226	22.5	13.3	13.98333333	3.9	21.3	15.175	12.75	4.9
4226	22.5	13.3	13.98333333	3.9	19	15.175	12.75	4.9
4226	22.5	13.3	13.98333333	3.9	21.3	11.4	14.8	4.9
4226	23.63333333	13.3	14.18333333	3.9	19	11.4	12.75	4.9
4226	23.63333333	13.3	14.18333333	3.9	21.3	11.4	12.75	4.9
4226	23.63333333	13.3	14.18333333	3.9	19	15.175	14.8	4.9
4226	23.63333333	13.3	14.18333333	3.9	19	11.4	14.8	4.9
4226	23.63333333	13.3	14.18333333	3.9	21.3	15.175	14.8	4.9
4226	23.63333333	13.3	14.18333333	3.9	21.3	15.175	12.75	4.9
4226	23.63333333	13.3	14.18333333	3.9	19	15.175	12.75	4.9
4226	23.63333333	13.3	14.18333333	3.9	21.3	11.4	14.8	4.9
4226	23.63333333	13.3	14.18333333	4.4	19	11.4	12.75	4.9
4226	23.63333333	13.3	14.18333333	4.4	21.3	11.4	12.75	4.9
4226	23.63333333	13.3	14.18333333	4.4	19	15.175	14.8	4.9
4226	23.63333333	13.3	14.18333333	4.4	19	11.4	14.8	4.9
4226	23.63333333	13.3	14.18333333	4.4	21.3	15.175	14.8	4.9
4226	23.63333333	13.3	14.18333333	4.4	21.3	15.175	12.75	4.9
4226	23.63333333	13.3	14.18333333	4.4	19	15.175	12.75	4.9
4226	23.63333333	13.3	14.18333333	4.4	21.3	11.4	14.8	4.9
4226	22.5	13.76666667	13.98333333	3.9	19	11.4	12.75	4.9
4226	22.5	13.76666667	13.98333333	3.9	21.3	11.4	12.75	4.9
4226	22.5	13.76666667	13.98333333	3.9	19	15.175	14.8	4.9
4226	22.5	13.76666667	13.98333333	3.9	19	11.4	14.8	4.9
4226	22.5	13.76666667	13.98333333	3.9	21.3	15.175	14.8	4.9
4226	22.5	13.76666667	13.98333333	3.9	21.3	15.175	12.75	4.9
4226	22.5	13.76666667	13.98333333	3.9	19	15.175	12.75	4.9
4226	22.5	13.76666667	13.98333333	3.9	21.3	11.4	14.8	4.9
A188	24.3	5.9	11.21666667	5.7	26.5	25.2	11.11666667	6.4
A188	24.3	5.9	11.21666667	5.7	26.5	25.2	11.3	6.4
A188	24.3	5.9	11.21666667	5.7		25.2	11.11666667	6.4
A188	24.3	5.9	11.21666667	5.7		25.2	11.3	6.4
A188	24.3	8	10.52857143	5.7	26.5	25.2	11.11666667	6.4
A188	24.3	8	10.52857143	5.7	26.5	25.2	11.3	6.4
A188	24.3	8	10.52857143	5.7		25.2	11.11666667	6.4
A188	24.3	8	10.52857143	5.7		25.2	11.3	6.4
A188	24.3	5.9	10.52857143	5.7	26.5	25.2	11.11666667	6.4
A188	24.3	5.9	10.52857143	5.7	26.5	25.2	11.3	6.4
A188	24.3	5.9	10.52857143	5.7		25.2	11.11666667	6.4
A188	24.3	5.9	10.52857143	5.7		25.2	11.3	6.4
A188	21.25	8	11.21666667	5.7	26.5	25.2	11.11666667	6.4
A188	21.25	8	11.21666667	5.7	26.5	25.2	11.3	6.4
A188	21.25	8	11.21666667	5.7		25.2	11.11666667	6.4
A188	21.25	8	11.21666667	5.7		25.2	11.3	6.4
A188	21.25	5.9	10.52857143	5.7	26.5	25.2	11.11666667	6.4
A188	21.25	5.9	10.52857143	5.7	26.5	25.2	11.3	6.4
A188	21.25	5.9	10.52857143	5.7		25.2	11.11666667	6.4
A188	21.25	5.9	10.52857143	5.7		25.2	11.3	6.4
A188	21.25	5.9	11.21666667	5.7	26.5	25.2	11.11666667	6.4
A188	21.25	5.9	11.21666667	5.7	26.5	25.2	11.3	6.4
A188	21.25	5.9	11.21666667	5.7		25.2	11.11666667	6.4
A188	21.25	5.9	11.21666667	5.7		25.2	11.3	6.4
A188	21.25	8	10.52857143	5.7	26.5	25.2	11.11666667	6.4
A188	21.25	8	10.52857143	5.7	26.5	25.2	11.3	6.4
A188	21.25	8	10.52857143	5.7		25.2	11.11666667	6.4
A188	21.25	8	10.52857143	5.7		25.2	11.3	6.4
A188	24.3	8	11.21666667	5.7	26.5	25.2	11.11666667	6.4
A188	24.3	8	11.21666667	5.7	26.5	25.2	11.3	6.4
A188	24.3	8	11.21666667	5.7		25.2	11.11666667	6.4
A188	24.3	8	11.21666667	5.7		25.2	11.3	6.4
A239	20.15	8.05	13.16666667	5.5	19.92	6.52	12.6	4.8
A239	20.15	8.05	13.16666667	5.5	23.04	8.34	11.8	4.8
A239	20.15	8.05	13.16666667	5.5	23.04	6.52	12.6	4.8
A239	20.15	8.05	13.16666667	5.5	19.92	8.34	12.6	4.8
A239	20.15	8.05	13.16666667	5.5	19.92	8.34	11.8	4.8
A239	20.15	8.05	13.16666667	5.5	23.04	6.52	11.8	4.8
A239	20.15	8.05	13.16666667	5.5	19.92	6.52	11.8	4.8
A239	20.15	8.05	13.16666667	5.5	23.04	8.34	12.6	4.8
A239	20.15	11.66	13.16666667	7	19.92	6.52	12.6	4.8
A239	20.15	11.66	13.16666667	7	23.04	8.34	11.8	4.8
A239	20.15	11.66	13.16666667	7	23.04	6.52	12.6	4.8
A239	20.15	11.66	13.16666667	7	19.92	8.34	12.6	4.8
A239	20.15	11.66	13.16666667	7	19.92	8.34	11.8	4.8
A239	20.15	11.66	13.16666667	7	23.04	6.52	11.8	4.8
A239	20.15	11.66	13.16666667	7	19.92	6.52	11.8	4.8
A239	20.15	11.66	13.16666667	7	23.04	8.34	12.6	4.8
A239	20.15	11.66	11.85	5.5	19.92	6.52	12.6	4.8
A239	20.15	11.66	11.85	5.5	23.04	8.34	11.8	4.8
A239	20.15	11.66	11.85	5.5	23.04	6.52	12.6	4.8
A239	20.15	11.66	11.85	5.5	19.92	8.34	12.6	4.8
A239	20.15	11.66	11.85	5.5	19.92	8.34	11.8	4.8
A239	20.15	11.66	11.85	5.5	23.04	6.52	11.8	4.8
A239	20.15	11.66	11.85	5.5	19.92	6.52	11.8	4.8
A239	20.15	11.66	11.85	5.5	23.04	8.34	12.6	4.8
A239	20.15	8.05	13.16666667	7	19.92	6.52	12.6	4.8
A239	20.15	8.05	13.16666667	7	23.04	8.34	11.8	4.8
A239	20.15	8.05	13.16666667	7	23.04	6.52	12.6	4.8
A239	20.15	8.05	13.16666667	7	19.92	8.34	12.6	4.8
A239	20.15	8.05	13.16666667	7	19.92	8.34	11.8	4.8
A239	20.15	8.05	13.16666667	7	23.04	6.52	11.8	4.8
A239	20.15	8.05	13.16666667	7	19.92	6.52	11.8	4.8
