Genotype,LN Cob Width 2019,LN Cob Weight,LN Cob Length,LN 20 Kernel Weight
Pa91,24.8,12,13.28333333,5.4
Pa91,21.7,14.8,13.28333333,5.4
Pa91,21.7,12,13.28333333,5.4
Pa91,24.8,14.8,11.42,5.4
Pa91,24.8,12,11.42,5.4
R229,24,9.05,12.33333333,3.8
R229,24,9.05,12.33333333,3.5
R229,21.5,8.475,12.33333333,3.8
R229,21.5,8.475,12.33333333,3.5
R229,21.5,8.475,9.383333333,3.8
R229,21.5,8.475,9.383333333,3.5
R229,21.5,9.05,12.33333333,3.8
R229,21.5,9.05,12.33333333,3.5
R229,24,8.475,12.33333333,3.8
R229,24,8.475,12.33333333,3.5
R229,24,8.475,9.383333333,3.8
R229,24,8.475,9.383333333,3.5
R229,21.5,9.05,9.383333333,3.8
R229,21.5,9.05,9.383333333,3.5
R229,24,9.05,9.383333333,3.8
R229,24,9.05,9.383333333,3.5
SC357,,12.6,10.64,3.7
SC357,19.8,12.6,10.64,3.7
SD40,21.525,8.166666667,15.06,5.7
SD40,21.9,8.25,11.66666667,5.7
SD40,21.9,8.166666667,15.06,5.7
SD40,21.525,8.25,15.06,5.7
SD40,21.9,8.25,15.06,5.7
SD40,21.525,8.166666667,11.66666667,5.7
SD40,21.9,8.166666667,11.66666667,5.7
SD40,21.525,8.25,11.66666667,5.7
T232,21.65,14.45,13.03333333,7.2
T232,21.65,8.133333333,9.783333333,7.2
T232,21.65,8.133333333,13.03333333,7.2
T232,21.1,8.133333333,13.03333333,7.2
T232,21.1,14.45,13.03333333,7.2
T232,21.1,8.133333333,9.783333333,7.2
T232,21.65,14.45,9.783333333,7.2
T232,21.1,14.45,9.783333333,7.2
T8,24,8.95,10.18333333,4.8
T8,24,8.95,12.03333333,4.8
T8,21.9,20.4,12.03333333,4.8
T8,21.9,20.4,10.18333333,4.8
T8,24,20.4,10.18333333,4.8
T8,24,20.4,12.03333333,4.8
T8,21.9,8.95,12.03333333,4.8
T8,21.9,8.95,10.18333333,4.8
Tzi11,23.45,6.7,10.18333333,4.5
Tzi11,23.45,6.7,11.86666667,4.5
Tzi11,,6.7,10.18333333,4.5
Tzi11,,6.7,11.86666667,4.5
Tzi25,,13.8,13.26666667,5.1
Tzi25,,13.8,13.26666667,4.1
Tzi25,22.875,13.8,13.26666667,5.1
Tzi25,22.875,13.8,13.26666667,4.1
Tzi25,22.875,13.8,13.28333333,5.1
Tzi25,22.875,13.8,13.28333333,4.1
Tzi25,,13.8,13.28333333,5.1
Tzi25,,13.8,13.28333333,4.1
Tzi9,,6.066666667,10.23333333,4.1
Tzi9,21.8,6.066666667,10.23333333,4.1
Va102,18.95,4.4,12.58333333,5.3
Va102,22.76666667,4.4,12.58333333,5.3
Va102,22.76666667,9.366666667,12.58333333,5.3
Va102,18.95,9.366666667,14.11666667,5.3
Va102,22.76666667,9.366666667,14.11666667,5.3
Va102,18.95,4.4,14.11666667,5.3
Va102,22.76666667,4.4,14.11666667,5.3
Va102,18.95,9.366666667,12.58333333,5.3
Va22,19,14.375,17.8,3.8
Va22,19,10.2,14.43333333,3.8
Va22,19,10.2,17.8,3.8
Va22,19,14.375,14.43333333,3.8
Va22,21.25,10.2,17.8,3.8
Va22,21.25,14.375,14.43333333,3.8
Va22,21.25,10.2,14.43333333,3.8
Va22,21.25,14.375,17.8,3.8
Va26,,12.5,10.61666667,5.8
Va26,,12.5,10.5,5.8
Va26,20.9,12.5,10.61666667,5.8
Va26,20.9,12.5,10.5,5.8
Va99,21,9.9,14.11666667,5.6
Va99,21,9.9,12.08333333,5.6
Va99,20.36,9.9,14.11666667,5.6
Va99,20.36,9.9,12.08333333,5.6
Va99,20.36,9.04,14.11666667,5.6
Va99,21,9.04,12.08333333,5.6
Va99,20.36,9.04,12.08333333,5.6
Va99,21,9.04,14.11666667,5.6
W22,,10.2,13.28571429,4.7
W22,,10.2,13.28571429,4.1
W22,,10.2,11.66666667,4.7
W22,,10.2,11.66666667,4.1
W22,22.45,10.2,13.28571429,4.7
W22,22.45,10.2,13.28571429,4.1
W22,22.45,10.2,11.66666667,4.7
W22,22.45,10.2,11.66666667,4.1
W64A,25.22,12.14,10.76666667,3.9
W64A,25.22,12.14,10.76666667,3.8
W64A,25.22,12.14,11.7,3.9
W64A,25.22,12.14,11.7,3.8
W64A,25.22,13.025,10.76666667,3.9
W64A,25.22,13.025,10.76666667,3.8
W64A,26,13.025,11.7,3.9
W64A,26,13.025,11.7,3.8
W64A,25.22,13.025,11.7,3.9
W64A,25.22,13.025,11.7,3.8
W64A,26,12.14,10.76666667,3.9
W64A,26,12.14,10.76666667,3.8
W64A,26,12.14,11.7,3.9
W64A,26,12.14,11.7,3.8
W64A,26,13.025,10.76666667,3.9
W64A,26,13.025,10.76666667,3.8
