Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
A661,23.975,20.825,10.25,5
A661,20.6,20.825,10.47142857,4.4
A661,20.6,20.825,10.47142857,5
A679,25.35,11.625,13.88333333,4.2
A679,25.35,11.625,13.88333333,5
A679,,11.625,13.27571429,4.2
A679,,11.625,13.27571429,5
A679,25.35,11.625,13.27571429,4.2
A679,25.35,11.625,13.27571429,5
A679,,11.625,13.88333333,4.2
A679,,11.625,13.88333333,5
A680,24,15.75,14.03333333,4.8
A680,24,15.75,14.03333333,4.9
A680,24,15.75,15.85,4.8
A680,24,15.75,15.85,4.9
A680,,15.75,14.03333333,4.8
A680,,15.75,14.03333333,4.9
A680,,15.75,15.85,4.8
A680,,15.75,15.85,4.9
A682,20.73333333,16,16.25,6
A682,20.73333333,16,16.25,6.1
A682,19.75,16,16.25,6
A682,19.75,16,16.25,6.1
A682,19.75,16,16.48571429,6
A682,19.75,16,16.48571429,6.1
A682,20.73333333,6.05,16.25,6
A682,20.73333333,6.05,16.25,6.1
A682,20.73333333,6.05,16.48571429,6
A682,20.73333333,6.05,16.48571429,6.1
A682,19.75,6.05,16.25,6
A682,19.75,6.05,16.25,6.1
A682,20.73333333,16,16.48571429,6
A682,20.73333333,16,16.48571429,6.1
A682,19.75,6.05,16.48571429,6
A682,19.75,6.05,16.48571429,6.1
B103,20.76,9.54,13.13333333,5
B103,20.76,9.54,13.13333333,5.1
B103,,9.54,14.7,5
B103,,9.54,14.7,5.1
B103,20.76,9.54,14.7,5
B103,20.76,9.54,14.7,5.1
B103,,9.54,13.13333333,5
B103,,9.54,13.13333333,5.1
B104,24.475,13.775,13.86666667,5.2
B104,28.8,13.56,13.86666667,5.2
B104,24.475,13.56,13.86666667,5.2
B104,28.8,13.775,13.86666667,5.2
B104,28.8,13.775,14.02857143,5.2
B104,24.475,13.56,14.02857143,5.2
B104,28.8,13.56,14.02857143,5.2
B104,24.475,13.775,14.02857143,5.2
B105,,15.7,16.61666667,4.9
B105,,15.7,16.61666667,4.7
B105,28.3,15.7,16.61666667,4.9
B105,28.3,15.7,16.61666667,4.7
B109,24.65,12.15,14.88333333,4.7
B109,24.65,12.15,14.88333333,5.8
B109,24.65,12.15,13.93333333,4.7
B109,24.65,12.15,13.93333333,5.8
B109,24.65,12.05,14.88333333,4.7
B109,24.65,12.05,14.88333333,5.8
B109,27.225,12.15,13.93333333,4.7
B109,27.225,12.15,13.93333333,5.8
B109,27.225,12.15,14.88333333,4.7
B109,27.225,12.15,14.88333333,5.8
B109,27.225,12.05,13.93333333,4.7
B109,27.225,12.05,13.93333333,5.8
B109,24.65,12.05,13.93333333,4.7
