Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
Mo45,23.875,13.975,17.31666667,3.3
Mo45,23.875,13.975,17.31666667,3.9
Mo45,23.875,13.975,18.11666667,3.3
Mo45,23.875,13.975,18.11666667,3.9
Mo45,22.275,15.75,17.31666667,3.3
Mo45,22.275,15.75,17.31666667,3.9
Mo45,23.875,15.75,18.11666667,3.3
Mo45,23.875,15.75,18.11666667,3.9
Mo46,23,6.5,12.55,5.3
Mo46,21.75,10.55,9.55,5.3
Mo46,23,6.5,9.55,5.3
Mo46,23,10.55,12.55,5.3
Mo46,21.75,10.55,12.55,5.3
Mo46,23,10.55,9.55,5.3
Mo46,21.75,6.5,12.55,5.3
Mo46,21.75,6.5,9.55,5.3
Mo47,21.625,8.975,12.1,4.5
Mo47,21.625,8.975,12.1,4
Mo47,,8.975,12.1,4.5
Mo47,,8.975,12.1,4
Mo47,21.625,8.975,12.18333333,4.5
Mo47,21.625,8.975,12.18333333,4
Mo47,,8.975,12.18333333,4.5
Mo47,,8.975,12.18333333,4
MS1334,23.525,14.2,14.73333333,3.1
MS1334,23.525,12.975,14.06666667,3.1
MS1334,20.5,14.2,14.73333333,3.1
MS1334,23.525,12.975,14.73333333,3.1
MS1334,20.5,12.975,14.73333333,3.1
MS1334,23.525,14.2,14.06666667,3.1
MS1334,20.5,12.975,14.06666667,3.1
MS1334,20.5,14.2,14.06666667,3.1
MS153,25.86666667,16.93333333,15.55,5.8
MS153,24.96666667,16.93333333,15.55,5.8
MS153,24.96666667,12.03333333,11.375,5.8
MS153,25.86666667,12.03333333,11.375,5.8
MS153,24.96666667,16.93333333,11.375,5.8
MS153,24.96666667,12.03333333,15.55,5.8
MS153,25.86666667,12.03333333,15.55,5.8
MS153,25.86666667,16.93333333,11.375,5.8
Mt42,23.76666667,10.2,13.06,4
Mt42,23.76666667,10.2,12.31666667,4
Mt42,21.25,9.8,13.06,4
Mt42,21.25,9.8,12.31666667,4
Mt42,23.76666667,9.8,13.06,4
Mt42,21.25,10.2,13.06,4
Mt42,23.76666667,9.8,12.31666667,4
Mt42,21.25,10.2,12.31666667,4
N192,24.6,14.1,14.7,5.4
N192,24.75,8.45,14.7,5.4
N192,24.6,8.45,14.7,5.4
N192,24.75,8.45,16.37142857,5.4
N192,24.75,14.1,14.7,5.4
N192,24.75,14.1,16.37142857,5.4
N192,24.6,8.45,16.37142857,5.4
N192,24.6,14.1,16.37142857,5.4
N28Ht,25.66666667,17.96666667,11.5,4.1
N28Ht,25.66666667,14.66666667,12.6,4.1
N28Ht,25.66666667,14.66666667,11.5,4.1
N28Ht,25.66666667,17.96666667,12.6,4.1
N28Ht,26,14.66666667,12.6,4.1
N28Ht,26,14.66666667,11.5,4.1
N28Ht,26,17.96666667,11.5,4.1
N28Ht,26,17.96666667,12.6,4.1
N6,25.6,10.9,13.75,5
N6,25.6,13.825,13.05,5
N6,22.76666667,10.9,13.05,5
N6,22.76666667,13.825,13.05,5
N6,22.76666667,13.825,13.75,5
N6,22.76666667,10.9,13.75,5
N6,25.6,13.825,13.75,5
N6,25.6,10.9,13.05,5
NC258,25.6,9.66,12.85,4.7
NC258,25.6,9.66,12.85,5.1
NC258,20.72,18.4,12.85,4.7
NC258,20.72,18.4,12.85,5.1
NC258,25.6,9.66,11.9,4.7
NC258,25.6,9.66,11.9,5.1
NC258,25.6,18.4,12.85,4.7
NC258,25.6,18.4,12.85,5.1
NC258,20.72,9.66,12.85,4.7
NC258,20.72,9.66,12.85,5.1
NC258,25.6,18.4,11.9,4.7
NC258,25.6,18.4,11.9,5.1
NC258,20.72,9.66,11.9,4.7
NC258,20.72,9.66,11.9,5.1
NC258,20.72,18.4,11.9,4.7
NC258,20.72,18.4,11.9,5.1
NC262,22.52,7.45,12.26666667,5.7
NC262,22.52,7.45,12.26666667,3.9
NC262,22.52,5.92,11.43333333,5.7
NC262,22.52,5.92,11.43333333,3.9
NC262,22.52,7.45,11.43333333,5.7
NC262,22.52,7.45,11.43333333,3.9
NC262,26.325,5.92,12.26666667,5.7
NC262,26.325,5.92,12.26666667,3.9
NC262,26.325,5.92,11.43333333,5.7
NC262,26.325,5.92,11.43333333,3.9
NC262,26.325,7.45,11.43333333,5.7
NC262,26.325,7.45,11.43333333,3.9
NC262,26.325,7.45,12.26666667,5.7
NC262,26.325,7.45,12.26666667,3.9
NC262,22.52,5.92,12.26666667,5.7
NC262,22.52,5.92,12.26666667,3.9
NC264,21,9.525,11.21666667,4.6
NC264,21,11.85,11.21666667,4.6
NC264,23.25,11.85,11.21666667,4.6
NC264,21,11.85,11.45,4.6
NC264,23.25,9.525,11.21666667,4.6
NC264,23.25,9.525,11.45,4.6
NC264,21,9.525,11.45,4.6
NC264,23.25,11.85,11.45,4.6
NC294,23.175,11.675,11.86666667,3.9
NC294,23.175,11.675,11.86666667,4.3
NC294,22.96666667,11.675,11.61666667,3.9
NC294,22.96666667,11.675,11.61666667,4.3
NC294,22.96666667,11.675,11.86666667,3.9
NC294,22.96666667,11.675,11.86666667,4.3
NC294,22.96666667,8.933333333,11.86666667,3.9
NC294,22.96666667,8.933333333,11.86666667,4.3
NC294,22.96666667,8.933333333,11.61666667,3.9
NC294,22.96666667,8.933333333,11.61666667,4.3
NC294,23.175,8.933333333,11.86666667,3.9
NC294,23.175,8.933333333,11.86666667,4.3
NC294,23.175,11.675,11.61666667,3.9
NC294,23.175,11.675,11.61666667,4.3
NC294,23.175,8.933333333,11.61666667,3.9
NC294,23.175,8.933333333,11.61666667,4.3
NC296,,8.366666667,11.53333333,4.4
NC296,17.43333333,8.366666667,11.16666667,4.4
NC296,17.43333333,8.366666667,11.53333333,4.4
NC296,,8.366666667,11.16666667,4.4
NC298,17.73333333,5.633333333,19.26666667,6.6
NC298,17.73333333,5.55,19.26666667,6.6
NC298,15.35,5.633333333,19.26666667,6.6
NC298,15.35,5.55,19.26666667,6.6
NC302,,18.7,11.96666667,4.4
NC302,,18.7,11.96666667,6.5
NC302,19.6,18.7,11.16666667,4.4
NC302,19.6,18.7,11.16666667,6.5
NC302,19.6,18.7,11.96666667,4.4
NC302,19.6,18.7,11.96666667,6.5
NC302,,18.7,11.16666667,4.4
NC302,,18.7,11.16666667,6.5
NC306,20.3,9.9,13.18333333,5.5
NC306,20.3,9.9,13.18333333,5.3
NC306,,9.9,13.18333333,5.5
NC306,,9.9,13.18333333,5.3
NC306,,9.9,13.63333333,5.5
NC306,,9.9,13.63333333,5.3
NC306,20.3,9.9,13.63333333,5.5
NC306,20.3,9.9,13.63333333,5.3
NC308,22.46666667,7.633333333,12.35,5.4
NC308,22.46666667,7.633333333,12.35,6.1
NC308,22.46666667,12.9,12.35,5.4
NC308,22.46666667,12.9,12.35,6.1
NC308,23,12.9,12.35,5.4
NC308,23,12.9,12.35,6.1
NC308,22.46666667,7.633333333,13.24285714,5.4
NC308,22.46666667,7.633333333,13.24285714,6.1
NC308,22.46666667,12.9,13.24285714,5.4
NC308,22.46666667,12.9,13.24285714,6.1
NC308,23,7.633333333,12.35,5.4
NC308,23,7.633333333,12.35,6.1
NC308,23,7.633333333,13.24285714,5.4
NC308,23,7.633333333,13.24285714,6.1
NC308,23,12.9,13.24285714,5.4
NC308,23,12.9,13.24285714,6.1
NC310,25.5,15.9,12.68333333,3.1
NC310,24.05,15.9,12.68333333,3.1
NC310,25.5,13.1,12.68333333,3.1
NC310,25.5,13.1,13.26666667,3.1
NC310,24.05,13.1,13.26666667,3.1
NC310,25.5,15.9,13.26666667,3.1
NC310,24.05,15.9,13.26666667,3.1
NC310,24.05,13.1,12.68333333,3.1
NC312,21.625,16,14.55,6
NC312,20,16,14.55,6
NC312,21.625,12.825,14.55,6
NC312,21.625,12.825,13.83333333,6
NC312,20,12.825,14.55,6
NC312,20,12.825,13.83333333,6
NC312,20,16,13.83333333,6
NC312,21.625,16,13.83333333,6
NC316,26.525,8.8,16.1,3.8
NC316,23.1,19.05,16.1,3.8
NC316,26.525,19.05,16.1,3.8
NC316,23.1,8.8,16.1,3.8
NC318,15.66,9.375,12.23333333,4.1
NC318,15.66,9.375,12.23333333,3.9
NC318,15.15,4.7,12.16666667,4.1
NC318,15.15,4.7,12.16666667,3.9
NC318,15.66,4.7,12.23333333,4.1
NC318,15.66,4.7,12.23333333,3.9
NC318,15.66,4.7,12.16666667,4.1
NC318,15.66,4.7,12.16666667,3.9
NC318,15.15,9.375,12.16666667,4.1
NC318,15.15,9.375,12.16666667,3.9
NC318,15.15,4.7,12.23333333,4.1
NC318,15.15,4.7,12.23333333,3.9
NC318,15.66,9.375,12.16666667,4.1
NC318,15.66,9.375,12.16666667,3.9
NC318,15.15,9.375,12.23333333,4.1
NC318,15.15,9.375,12.23333333,3.9
NC320,21.075,9.175,11.78333333,4.1
NC320,21.25,9.175,11.78333333,4.1
NC320,21.25,8.525,12.2,4.1
NC320,21.25,9.175,12.2,4.1
NC320,21.25,8.525,11.78333333,4.1
NC320,21.075,9.175,12.2,4.1
NC320,21.075,8.525,11.78333333,4.1
NC320,21.075,8.525,12.2,4.1
NC324,,10.7,10.88571429,5.4
NC324,19.6,10.7,11.26666667,5.4
NC324,,10.7,11.26666667,5.4
NC324,19.6,10.7,10.88571429,5.4
NC326,28.3,20.13333333,14.23333333,3.8
NC326,28.3,20.13333333,15.83333333,3.8
NC326,25,20.13333333,14.23333333,3.8
NC326,25,20.13333333,15.83333333,3.8
NC328,24.5,12.53333333,13.7,4.4
NC328,24.5,12.53333333,13.7,3.8
NC328,27.16666667,12.53333333,13.7,4.4
NC328,27.16666667,12.53333333,13.7,3.8
NC328,24.5,12.53333333,12.56666667,4.4
NC328,24.5,12.53333333,12.56666667,3.8
NC328,27.16666667,12.53333333,12.56666667,4.4
NC328,27.16666667,12.53333333,12.56666667,3.8
NC328,27.16666667,10.85,13.7,4.4
NC328,27.16666667,10.85,13.7,3.8
NC328,27.16666667,10.85,12.56666667,4.4
NC328,27.16666667,10.85,12.56666667,3.8
NC328,24.5,10.85,13.7,4.4
NC328,24.5,10.85,13.7,3.8
NC328,24.5,10.85,12.56666667,4.4
NC328,24.5,10.85,12.56666667,3.8
NC330,26.325,16.475,15.85,3.9
NC330,,16.475,12.8,3.9
NC330,26.325,16.475,12.8,3.9
NC330,,16.475,15.85,3.9
NC332,15.025,5.125,12.95,4.3
NC332,15.65,5.125,12.95,4.3
NC332,15.65,5.125,14.43333333,4.3
NC332,15.025,10.6,12.95,4.3
NC332,15.65,10.6,12.95,4.3
NC332,15.025,10.6,14.43333333,4.3
NC332,15.65,10.6,14.43333333,4.3
NC332,15.025,5.125,14.43333333,4.3
NC334,14.65,20.21666667,11.6,4.1
NC334,14.65,20.21666667,11.6,4.4
NC334,14.65,5.35,11.6,4.1
NC334,14.65,5.35,11.6,4.4
NC334,15.5,5.35,12.86666667,4.1
NC334,15.5,5.35,12.86666667,4.4
NC334,14.65,5.35,12.86666667,4.1
NC334,14.65,5.35,12.86666667,4.4
NC334,15.5,20.21666667,12.86666667,4.1
NC334,15.5,20.21666667,12.86666667,4.4
NC334,14.65,20.21666667,12.86666667,4.1
NC334,14.65,20.21666667,12.86666667,4.4
NC334,15.5,5.35,11.6,4.1
NC334,15.5,5.35,11.6,4.4
NC334,15.5,20.21666667,11.6,4.1
NC334,15.5,20.21666667,11.6,4.4
NC336,22.33333333,11.2,13.21666667,6
NC336,,11.2,13.21666667,6
NC336,22.33333333,11.2,13.7,6
NC336,,11.2,13.7,6
NC338,,5.4,14.7,5.8
NC338,,5.4,14.7,5.8
NC338,21.23333333,5.4,14.7,5.8
NC338,21.23333333,5.4,14.7,5.8
NC338,,5.4,16.58333333,5.8
NC338,,5.4,16.58333333,5.8
NC338,21.23333333,5.4,16.58333333,5.8
NC338,21.23333333,5.4,16.58333333,5.8
NC340,26.7,13.7,15.88333333,7.2
NC340,26.7,16.63333333,15.88333333,7.2
NC340,23.35,16.63333333,15.88333333,7.2
NC340,23.35,13.7,15.88333333,7.2
NC342,25.6,16.78,12.2,5.2
NC342,25.6,16.78,12.2,5.2
NC342,23.5,18,12.2,5.2
NC342,23.5,18,12.2,5.2
NC342,23.5,16.78,12.38333333,5.2
NC342,23.5,16.78,12.38333333,5.2
NC342,25.6,16.78,12.38333333,5.2
NC342,25.6,16.78,12.38333333,5.2
NC342,25.6,18,12.2,5.2
NC342,25.6,18,12.2,5.2
NC342,25.6,18,12.38333333,5.2
NC342,25.6,18,12.38333333,5.2
NC342,23.5,16.78,12.2,5.2
NC342,23.5,16.78,12.2,5.2
NC342,23.5,18,12.38333333,5.2
NC342,23.5,18,12.38333333,5.2
NC346,,12.8,11.31666667,6.1
NC346,21.1,12.8,11.31666667,6.1
NC346,,12.8,10.7,6.1
NC346,21.1,12.8,10.7,6.1
NC348,20.23333333,8.166666667,12.45,5.6
NC348,20.23333333,9.4,12.45,5.6
NC348,18.425,9.4,12.45,5.6
NC348,18.425,8.166666667,12.45,5.6
NC352,21.03333333,12.7,14.83333333,6.7
NC352,21.03333333,12.7,14.83333333,5.3
NC352,22.46,12.7,14.55,6.7
NC352,22.46,12.7,14.55,5.3
NC352,22.46,12.4,14.83333333,6.7
NC352,22.46,12.4,14.83333333,5.3
NC352,21.03333333,12.4,14.55,6.7
NC352,21.03333333,12.4,14.55,5.3
NC352,22.46,12.4,14.55,6.7
NC352,22.46,12.4,14.55,5.3
NC352,22.46,12.7,14.83333333,6.7
NC352,22.46,12.7,14.83333333,5.3
NC352,21.03333333,12.7,14.55,6.7
NC352,21.03333333,12.7,14.55,5.3
NC352,21.03333333,12.4,14.83333333,6.7
NC352,21.03333333,12.4,14.83333333,5.3
NC356,21.36666667,6.966666667,9.44,4.3
NC356,,6.966666667,9.9,4.3
NC356,21.36666667,6.966666667,9.9,4.3
NC356,,6.966666667,9.44,4.3
NC358,20.66,11.06,13.93333333,4.4
NC358,20.66,11.06,11.75,4.4
NC358,20.66,11.66666667,11.75,4.4
NC358,22.63333333,11.66666667,11.75,4.4
NC358,22.63333333,11.06,11.75,4.4
NC358,20.66,11.66666667,13.93333333,4.4
NC358,22.63333333,11.66666667,13.93333333,4.4
NC358,22.63333333,11.06,13.93333333,4.4
NC360,20.7,8.325,14.15,5
NC360,20.7,9.033333333,14.15,5
NC360,21.225,8.325,14.15,5
NC360,21.225,9.033333333,14.15,5
NC362,23.7,15.23333333,14.35,3.5
NC362,23.7,15.23333333,14.35,5.1
NC362,23.7,15.23333333,11.54285714,3.5
NC362,23.7,15.23333333,11.54285714,5.1
NC362,23.95,15.23333333,14.35,3.5
NC362,23.95,15.23333333,14.35,5.1
NC362,23.95,15.23333333,11.54285714,3.5
NC362,23.95,15.23333333,11.54285714,5.1
NC362,23.7,11.7,14.35,3.5
NC362,23.7,11.7,14.35,5.1
NC362,23.7,11.7,11.54285714,3.5
NC362,23.7,11.7,11.54285714,5.1
NC362,23.95,11.7,11.54285714,3.5
NC362,23.95,11.7,11.54285714,5.1
NC362,23.95,11.7,14.35,3.5
NC362,23.95,11.7,14.35,5.1
NC364,25.5,14.43333333,11.28333333,4.2
NC364,25.5,14.43333333,11.28333333,4.4
NC364,25.5,7.375,11.21428571,4.2
NC364,25.5,7.375,11.21428571,4.4
NC364,25.5,7.375,11.28333333,4.2
NC364,25.5,7.375,11.28333333,4.4
NC364,25.5,14.43333333,11.21428571,4.2
NC364,25.5,14.43333333,11.21428571,4.4
NC364,26.725,14.43333333,11.21428571,4.2
NC364,26.725,14.43333333,11.21428571,4.4
NC364,26.725,7.375,11.21428571,4.2
NC364,26.725,7.375,11.21428571,4.4
NC364,26.725,7.375,11.28333333,4.2
NC364,26.725,7.375,11.28333333,4.4
NC364,26.725,14.43333333,11.28333333,4.2
NC364,26.725,14.43333333,11.28333333,4.4
NC366,21.16666667,10.8,12.41666667,5.8
NC366,21.16666667,10.8,12.41666667,5.2
NC366,21.16666667,17.3,12.41666667,5.8
NC366,21.16666667,17.3,12.41666667,5.2
NC366,24.95,17.3,12.41666667,5.8
NC366,24.95,17.3,12.41666667,5.2
NC366,24.95,10.8,12.41666667,5.8
NC366,24.95,10.8,12.41666667,5.2
NC366,21.16666667,10.8,12.91666667,5.8
NC366,21.16666667,10.8,12.91666667,5.2
NC366,24.95,17.3,12.91666667,5.8
NC366,24.95,17.3,12.91666667,5.2
NC366,21.16666667,17.3,12.91666667,5.8
NC366,21.16666667,17.3,12.91666667,5.2
NC366,24.95,10.8,12.91666667,5.8
NC366,24.95,10.8,12.91666667,5.2
NC368,28.2,10.7,10.33333333,6.9
NC368,28.2,10.7,10.33333333,6.8
NC368,28.2,11.325,10.76666667,6.9
NC368,28.2,11.325,10.76666667,6.8
NC368,27.575,11.325,10.76666667,6.9
NC368,27.575,11.325,10.76666667,6.8
NC368,27.575,10.7,10.76666667,6.9
NC368,27.575,10.7,10.76666667,6.8
NC368,28.2,10.7,10.76666667,6.9
NC368,28.2,10.7,10.76666667,6.8
NC368,28.2,11.325,10.33333333,6.9
NC368,28.2,11.325,10.33333333,6.8
NC368,27.575,10.7,10.33333333,6.9
NC368,27.575,10.7,10.33333333,6.8
NC368,27.575,11.325,10.33333333,6.9
NC368,27.575,11.325,10.33333333,6.8
NC370,,25.5,11.51666667,4.8
NC370,,25.5,11.51666667,4.7
NC370,25.33333333,25.5,11.51666667,4.8
NC370,25.33333333,25.5,11.51666667,4.7
NC370,,25.5,11,4.8
NC370,,25.5,11,4.7
NC370,25.33333333,25.5,11,4.8
NC370,25.33333333,25.5,11,4.7
NC372,26.25,10.75,15.51666667,4.6
NC372,26.25,10.75,15.51666667,4.4
NC372,26.25,14.53333333,15.38333333,4.6
NC372,26.25,14.53333333,15.38333333,4.4
NC372,25.63333333,10.75,15.51666667,4.6
NC372,25.63333333,10.75,15.51666667,4.4
NC372,25.63333333,10.75,15.38333333,4.6
NC372,25.63333333,10.75,15.38333333,4.4
NC372,25.63333333,14.53333333,15.38333333,4.6
NC372,25.63333333,14.53333333,15.38333333,4.4
NC372,26.25,14.53333333,15.51666667,4.6
NC372,26.25,14.53333333,15.51666667,4.4
NC372,26.25,10.75,15.38333333,4.6
NC372,26.25,10.75,15.38333333,4.4
NC372,25.63333333,14.53333333,15.51666667,4.6
NC372,25.63333333,14.53333333,15.51666667,4.4
ND246,18.675,10.875,13.21666667,2.9
ND246,18.675,8.62,13.21666667,2.9
ND246,18.42,10.875,12.81428571,2.9
ND246,18.675,10.875,12.81428571,2.9
ND246,18.42,8.62,12.81428571,2.9
ND246,18.42,8.62,13.21666667,2.9
ND246,18.675,8.62,12.81428571,2.9
ND246,18.42,10.875,13.21666667,2.9
Oh40B,,13,18.86666667,5.3
Oh40B,,13,18.86666667,5.5
Oh40B,18.45,13,18.86666667,5.3
Oh40B,18.45,13,18.86666667,5.5
Oh40B,,13,17.71666667,5.3
Oh40B,,13,17.71666667,5.5
Oh40B,18.45,13,17.71666667,5.3
Oh40B,18.45,13,17.71666667,5.5
Oh43,23.7,9.133333333,16.0625,3.9
Oh43,23.7,9.133333333,16.0625,5.2
Oh43,22.93333333,12.5,16.56666667,3.9
Oh43,22.93333333,12.5,16.56666667,5.2
Oh43,23.7,9.133333333,16.56666667,3.9
Oh43,23.7,9.133333333,16.56666667,5.2
Oh43,22.93333333,9.133333333,16.0625,3.9
Oh43,22.93333333,9.133333333,16.0625,5.2
Oh43,23.7,12.5,16.0625,3.9
Oh43,23.7,12.5,16.0625,5.2
Oh43,22.93333333,12.5,16.0625,3.9
Oh43,22.93333333,12.5,16.0625,5.2
Oh43,22.93333333,9.133333333,16.56666667,3.9
Oh43,22.93333333,9.133333333,16.56666667,5.2
Oh43,23.7,12.5,16.56666667,3.9
Oh43,23.7,12.5,16.56666667,5.2
Oh43E,21.825,9.566666667,11.25,5.9
Oh43E,23.4,9.566666667,11.25,5.9
Oh43E,23.4,9.566666667,20.35,5.9
Oh43E,21.825,10.425,20.35,5.9
Oh43E,21.825,9.566666667,20.35,5.9
Oh43E,23.4,10.425,11.25,5.9
Oh43E,21.825,10.425,11.25,5.9
Oh43E,23.4,10.425,20.35,5.9
Pa762,21.68,6.64,11.73333333,5.5
Pa762,21.68,6.64,11.73333333,5.5
Pa762,21.68,9.7,11.73333333,5.5
Pa762,21.68,9.7,11.73333333,5.5
Pa762,21.68,9.7,14.45,5.5
Pa762,21.68,9.7,14.45,5.5
Pa762,25.45,9.7,11.73333333,5.5
Pa762,25.45,9.7,11.73333333,5.5
Pa762,25.45,6.64,14.45,5.5
Pa762,25.45,6.64,14.45,5.5
Pa762,25.45,9.7,14.45,5.5
Pa762,25.45,9.7,14.45,5.5
Pa762,25.45,6.64,11.73333333,5.5
Pa762,25.45,6.64,11.73333333,5.5
Pa762,21.68,6.64,14.45,5.5
Pa762,21.68,6.64,14.45,5.5
Pa880,26.825,26.75,12.78333333,4.6
Pa880,,26.75,12.56666667,4.6
Pa880,,26.75,12.78333333,4.6
Pa880,26.825,26.75,12.56666667,4.6
Pa91,21.1,10.36666667,12.8,5.1
Pa91,24,11,13.78333333,5.1
Pa91,24,10.36666667,13.78333333,5.1
Pa91,24,10.36666667,12.8,5.1
Pa91,21.1,10.36666667,13.78333333,5.1
Pa91,21.1,11,12.8,5.1
Pa91,21.1,11,13.78333333,5.1
Pa91,24,11,12.8,5.1
R168,19.66666667,5.5,11.46666667,2.1
R168,19.66666667,11.53333333,11.46666667,2.1
R168,19.66666667,11.53333333,9.233333333,2.1
R168,19.66666667,5.5,9.233333333,2.1
R168,18.15,5.5,11.46666667,2.1
R168,18.15,5.5,9.233333333,2.1
R168,18.15,11.53333333,9.233333333,2.1
R168,18.15,11.53333333,11.46666667,2.1
R177,,17.05,13.6,5.3
R177,20.5,17.05,14.01666667,5.3
R177,20.5,17.05,13.6,5.3
R177,,17.05,14.01666667,5.3
R229,24.325,15.05,12.91666667,4.3
R229,24.325,15.05,11.33333333,4.3
R229,,15.05,11.33333333,4.3
R229,,15.05,12.91666667,4.3
SC55,22.1,8.3,11.33333333,4.1
SC55,22.1,8.3,11.33333333,4.5
SC55,23.875,13.9,9.5875,4.1
SC55,23.875,13.9,9.5875,4.5
SC55,22.1,8.3,9.5875,4.1
SC55,22.1,8.3,9.5875,4.5
SC55,23.875,8.3,9.5875,4.1
SC55,23.875,8.3,9.5875,4.5
SC55,22.1,13.9,9.5875,4.1
SC55,22.1,13.9,9.5875,4.5
SC55,22.1,13.9,11.33333333,4.1
SC55,22.1,13.9,11.33333333,4.5
SC55,23.875,8.3,11.33333333,4.1
SC55,23.875,8.3,11.33333333,4.5
SC55,23.875,13.9,11.33333333,4.1
SC55,23.875,13.9,11.33333333,4.5
SD40,20.325,12.03333333,13.37142857,4.9
SD40,20.325,12.03333333,13.37142857,4.9
SD40,23.53333333,12.03333333,11.5,4.9
SD40,23.53333333,12.03333333,11.5,4.9
SD40,23.53333333,12.03333333,13.37142857,4.9
SD40,23.53333333,12.03333333,13.37142857,4.9
SD40,23.53333333,5.475,13.37142857,4.9
SD40,23.53333333,5.475,13.37142857,4.9
SD40,20.325,12.03333333,11.5,4.9
SD40,20.325,12.03333333,11.5,4.9
SD40,20.325,5.475,13.37142857,4.9
SD40,20.325,5.475,13.37142857,4.9
SD40,23.53333333,5.475,11.5,4.9
SD40,23.53333333,5.475,11.5,4.9
SD40,20.325,5.475,11.5,4.9
SD40,20.325,5.475,11.5,4.9
SD44,23.65,15.175,11.2625,5.6
SD44,24.25,19.275,8.866666667,5.6
SD44,24.25,15.175,11.2625,5.6
SD44,23.65,19.275,8.866666667,5.6
SD44,24.25,15.175,8.866666667,5.6
SD44,23.65,19.275,11.2625,5.6
SD44,23.65,15.175,8.866666667,5.6
SD44,24.25,19.275,11.2625,5.6
T232,19.42,11.28,11.3,7.9
T232,19.42,19.6,11.28333333,7.9
T232,19.42,11.28,11.28333333,7.9
T232,20.3,19.6,11.28333333,7.9
T232,20.3,11.28,11.3,7.9
T232,19.42,19.6,11.3,7.9
T232,20.3,11.28,11.28333333,7.9
T232,20.3,19.6,11.3,7.9
T234,22.125,22.7,13.75714286,5.1
T234,,22.7,12.55,5.1
T234,,22.7,13.75714286,5.1
T234,22.125,22.7,12.55,5.1
Tzi18,23.33333333,22.5,14.03333333,5.1
Tzi18,23.33333333,22.5,14.03333333,5
Tzi18,23.33333333,22.5,13.88333333,5.1
Tzi18,23.33333333,22.5,13.88333333,5
Tzi18,25.16666667,22.5,14.03333333,5.1
Tzi18,25.16666667,22.5,14.03333333,5
Tzi18,25.16666667,22.5,13.88333333,5.1
Tzi18,25.16666667,22.5,13.88333333,5
Tzi25,24.25,15.84,12.58333333,5.2
Tzi25,24.25,15.84,12.58333333,4.1
Tzi25,24.25,16.9,12.58333333,5.2
Tzi25,24.25,16.9,12.58333333,4.1
Tzi25,23.7,16.9,13.61666667,5.2
Tzi25,23.7,16.9,13.61666667,4.1
Tzi25,23.7,15.84,12.58333333,5.2
Tzi25,23.7,15.84,12.58333333,4.1
Tzi25,24.25,15.84,13.61666667,5.2
Tzi25,24.25,15.84,13.61666667,4.1
Tzi25,23.7,15.84,13.61666667,5.2
Tzi25,23.7,15.84,13.61666667,4.1
Tzi25,23.7,16.9,12.58333333,5.2
Tzi25,23.7,16.9,12.58333333,4.1
Tzi25,24.25,16.9,13.61666667,5.2
Tzi25,24.25,16.9,13.61666667,4.1
Tzi9,23.7,12.56666667,15.21666667,4.7
Tzi9,22.66666667,12.56666667,15.21666667,4.7
Va102,22.66666667,10.13333333,16.83333333,5.2
Va102,23.8,10.13333333,16.83333333,5.2
Va102,22.66666667,6.033333333,16.83333333,5.2
Va102,23.8,10.13333333,14.26666667,5.2
Va102,22.66666667,6.033333333,14.26666667,5.2
Va102,23.8,6.033333333,14.26666667,5.2
Va102,23.8,6.033333333,16.83333333,5.2
Va102,22.66666667,10.13333333,14.26666667,5.2
Va22,21.4,12.3,16.98333333,3.9
Va22,21.4,12.3,16.98333333,3.9
Va22,21.4,12.3,16.78333333,3.9
Va22,21.4,12.3,16.78333333,3.9
Va22,,12.3,16.98333333,3.9
Va22,,12.3,16.98333333,3.9
Va22,,12.3,16.78333333,3.9
Va22,,12.3,16.78333333,3.9
Va26,24.175,9.8,16.23333333,4.4
Va26,,9.8,13.65,4.4
Va26,,9.8,16.23333333,4.4
Va26,24.175,9.8,13.65,4.4
Va35,22.1,14.4,18,6
Va35,22.1,14.4,11.46666667,6
Va35,,14.4,18,6
Va35,,14.4,11.46666667,6
Va59,16.75,4.6,14.08333333,5.7
Va59,20.66666667,13.16666667,14.08333333,5.7
Va59,16.75,4.6,15.96,5.7
Va59,16.75,13.16666667,15.96,5.7
Va59,20.66666667,4.6,15.96,5.7
Va59,20.66666667,13.16666667,15.96,5.7
Va59,20.66666667,4.6,14.08333333,5.7
Va59,16.75,13.16666667,14.08333333,5.7
Va85,20.4,19.4,16.48,5.9
Va85,24.43333333,14.275,17.81666667,5.9
Va85,20.4,14.275,17.81666667,5.9
Va85,24.43333333,19.4,16.48,5.9
Va85,20.4,14.275,16.48,5.9
Va85,20.4,19.4,17.81666667,5.9
Va85,24.43333333,14.275,16.48,5.9
Va85,24.43333333,19.4,17.81666667,5.9
Va99,21.1,10.175,13.68571429,4.3
Va99,21.1,10.175,13.68571429,4.7
Va99,21.1,10.175,13.98,4.3
Va99,21.1,10.175,13.98,4.7
Va99,23.025,16.15,13.98,4.3
Va99,23.025,16.15,13.98,4.7
Va99,23.025,10.175,13.68571429,4.3
Va99,23.025,10.175,13.68571429,4.7
Va99,23.025,16.15,13.68571429,4.3
Va99,23.025,16.15,13.68571429,4.7
Va99,21.1,16.15,13.98,4.3
Va99,21.1,16.15,13.98,4.7
Va99,23.025,10.175,13.98,4.3
Va99,23.025,10.175,13.98,4.7
